Endpoint Number,Endpoint Name,Input,Validator,Analyzer,AI,Testing,Recommendations
1,"POST /auth/bank-token","POST /auth/bank-token","ModuleResult{status='COMPLETED', findings=1, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
2,"GET /accounts","GET /accounts","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","Unrestricted resource consumption issues suspected","Found 5 vulnerabilities","3 failed tests out of 3","Review AI security findings"
3,"POST /accounts","POST /accounts","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","Unrestricted business flow access suspected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
4,"GET /accounts/{account_id}","GET /accounts/{account_id}","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","Unrestricted resource consumption issues suspected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
5,"GET /accounts/{account_id}/balances","GET /accounts/{account_id}/balances","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","Unrestricted resource consumption issues suspected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
6,"GET /accounts/{account_id}/transactions","GET /accounts/{account_id}/transactions","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
7,"PUT /accounts/{account_id}/status","PUT /accounts/{account_id}/status","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","5 failed tests out of 5","Review AI security findings"
8,"PUT /accounts/{account_id}/close","PUT /accounts/{account_id}/close","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","Unrestricted business flow access suspected","Found 5 vulnerabilities","5 failed tests out of 5","Review AI security findings"
9,"POST /account-consents/request","POST /account-consents/request","ModuleResult{status='COMPLETED', findings=1, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
10,"GET /account-consents/{consent_id}","GET /account-consents/{consent_id}","ModuleResult{status='COMPLETED', findings=1, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
11,"DELETE /account-consents/{consent_id}","DELETE /account-consents/{consent_id}","ModuleResult{status='COMPLETED', findings=2, executionTime=0ms}","Unrestricted business flow access suspected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
12,"POST /payment-consents/request","POST /payment-consents/request","ModuleResult{status='COMPLETED', findings=1, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
13,"GET /payment-consents/{consent_id}","GET /payment-consents/{consent_id}","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
14,"DELETE /payment-consents/{consent_id}","DELETE /payment-consents/{consent_id}","ModuleResult{status='COMPLETED', findings=1, executionTime=0ms}","Unrestricted business flow access suspected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
15,"POST /payments","POST /payments","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
16,"GET /payments/{payment_id}","GET /payments/{payment_id}","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
17,"GET /products","GET /products","ModuleResult{status='COMPLETED', findings=1, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","3 failed tests out of 3","Review AI security findings"
18,"GET /products/{product_id}","GET /products/{product_id}","ModuleResult{status='COMPLETED', findings=1, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
19,"GET /product-agreements","GET /product-agreements","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","Unrestricted resource consumption issues suspected","Found 5 vulnerabilities","3 failed tests out of 3","Review AI security findings"
20,"POST /product-agreements","POST /product-agreements","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
21,"GET /product-agreements/{agreement_id}","GET /product-agreements/{agreement_id}","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","Unrestricted resource consumption issues suspected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
22,"DELETE /product-agreements/{agreement_id}","DELETE /product-agreements/{agreement_id}","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
23,"POST /product-agreement-consents/request","POST /product-agreement-consents/request","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
24,"GET /product-agreement-consents/{consent_id}","GET /product-agreement-consents/{consent_id}","ModuleResult{status='COMPLETED', findings=0, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
25,"DELETE /product-agreement-consents/{consent_id}","DELETE /product-agreement-consents/{consent_id}","ModuleResult{status='COMPLETED', findings=1, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","4 failed tests out of 4","Review AI security findings"
26,"GET /.well-known/jwks.json","GET /.well-known/jwks.json","ModuleResult{status='COMPLETED', findings=1, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","3 failed tests out of 3","Review AI security findings"
27,"GET /","GET /","ModuleResult{status='COMPLETED', findings=1, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","3 failed tests out of 3","Review AI security findings"
28,"GET /health","GET /health","ModuleResult{status='COMPLETED', findings=1, executionTime=0ms}","No issues detected","Found 5 vulnerabilities","3 failed tests out of 3","Review AI security findings"
